ax,ay,az,gx,gy,gz,label
0.8391109,0.225586,-0.422607,-13.0,36.29008,-58.35115,0
1.258545,0.080811,0.014648,32.0,-33.60306,-37.40458,10
1.105225,-0.061523,-0.154297,121.2595,18.06107,14.67176,1
0.774902,0.003418,-0.493408,2.587786,-40.51145,8.274809,0
1.022461,0.033447,-0.058838,72.45802,-26.58779,-5.251908,0
0.5983891,0.99707,-0.655762,-1.068702,-8.923664,11.35114,10
1.401856,-0.686523,1.554443,64.96183,-66.77863,-8.10687,10
1.020996,0.019287,-0.382568,-5.862596,-15.12977,4.885496,1
0.848877,0.456299,0.166016,23.48855,0.396947,-2.083969,0
1.185303,0.396728,0.359375,26.99237,-16.41985,7.389312,10
0.816894,0.11792,-0.053223,-30.0916,-90.38168,8.549619,0
0.849365,-0.281006,-0.105469,-4.862596,95.58015,12.47328,0
0.99707,0.006592,0.102051,-2.664122,0.229008,0.763359,0
0.567383,1.608887,-1.904541,-8.824428,39.34351,43.75573,10
0.584717,-0.014648,-0.1521,-15.63359,58.83969,24.41985,0
0.900391,-0.08813499,0.269531,-229.3893,49.08397,112.0916,0
1.999939,-0.116211,0.252686,-14.48855,-166.6641,-201.6107,10
1.034668,0.009766001,-0.023193,-18.9542,-17.81679,42.00763,0
0.62793,-0.298828,-0.306396,-100.626,-61.85496,-23.22137,0
1.749756,-0.899658,0.712402,2.450382,-119.0,-227.9771,10
0.725586,0.360596,0.269043,-4.946564,56.59542,59.96183,0
1.0,0.007568001,0.09863299,-2.618321,0.236641,0.961832,0
0.7233891,0.413574,-1.44458,-27.16031,-42.51908,-20.9084,10
0.9978029,0.246094,0.00293,9.259542,30.87786,-9.106871,0
1.000244,-0.002441,0.067139,-2.732824,0.129771,1.068702,0
0.914062,0.269775,-0.128418,-39.61832,-47.12214,-5.770992,0
1.83252,-0.138428,1.345459,19.32061,-26.01527,18.1145,10
0.995117,0.014404,-0.020752,-2.832061,0.099237,1.045802,0
0.993896,0.001953,-0.024658,-2.717557,0.061069,0.854962,0
0.997559,0.001709,-0.022949,-3.053435,0.251908,1.08397,0
0.908203,-0.017822,-0.632324,-32.70229,-16.41221,0.687023,1
0.698242,-0.345703,-0.273682,-44.09924,89.34351,11.1374,0
0.749756,-0.033936,-0.58374,-25.25954,-1.984733,-11.45038,0
1.001465,-0.000244,-0.033203,-2.900763,0.580153,1.061069,0
0.848633,0.07104499,-0.330078,-7.167938,79.82442,-6.030534,0
0.999756,0.006836,-0.022705,-2.832061,0.244275,0.9312981,0
