ax,ay,az,gx,gy,gz,label
1.0,0.021484,0.07666,-2.648855,0.328244,0.91603,0
-0.02832,-0.926758,0.475342,-40.9313,-159.4886,-34.83206,0
1.031982,-0.082764,0.134033,-127.1908,-0.656489,-0.10687,0
1.0,0.019775,0.07641601,-2.732824,0.06870199,0.9312981,0
-0.339355,-1.2771,0.46582,-250.1374,46.0458,-42.41985,1
0.124756,-1.04956,0.22876,-204.4198,-116.0458,-31.38168,1
-0.449707,-1.563476,-0.633057,-15.1374,-42.31298,40.15267,10
-0.08544901,-0.9040529,0.549561,107.0,57.45038,-9.61832,1
0.8952641,-0.450439,-0.025146,-25.83206,-21.25954,25.9084,0
-0.50415,-0.270264,0.090576,-144.1145,24.27481,-95.32061,0
-0.008545,-1.589356,-0.032959,138.1298,29.66412,9.885496,10
0.186768,-1.278076,-0.251221,158.9237,-232.3435,38.31298,1
-0.024414,-0.79541,1.999939,-55.1832,39.29771,26.59542,10
0.103027,-1.430664,1.234863,107.7176,-122.0153,-65.19084,10
-0.289551,-0.909912,1.284912,91.99236,65.98473,24.73282,10
-0.177002,-0.688232,0.544678,-209.8702,-35.08397,-18.51145,0
1.001709,0.023438,0.076172,-2.748092,0.083969,0.954198,0
-0.100098,-0.618408,0.033691,46.84733,-66.80916,-48.70229,0
1.001465,0.020264,0.071777,-2.946565,0.389313,0.870229,0
1.001465,0.020752,0.073486,-2.908397,0.442748,1.053435,0
-0.08886701,-1.053223,0.246826,-3.572519,-44.70229,-2.763359,1
0.354004,-1.296387,1.999939,250.1298,-34.60306,-69.87786,10
0.368652,-1.095215,1.63208,-250.1374,-30.83206,-103.1527,10
0.9965819,-0.013428,0.075684,-2.78626,-0.145038,1.030534,0
-0.712158,-0.473389,0.299805,-184.0,51.22137,-127.7557,0
-0.289551,-0.909912,1.284912,91.99236,65.98473,24.73282,10
-0.950439,1.156494,1.999939,109.9847,26.26718,18.13741,10
-0.950439,1.156494,1.999939,109.9847,26.26718,18.13741,10
1.000977,-0.012695,0.080322,-2.160305,0.091603,1.328244,0
-0.253662,-0.558106,0.812012,-250.1374,4.0,-91.61069,0
-0.08300799,-0.645996,0.883789,42.84733,80.20612,22.75573,1
-0.410156,-0.756104,1.999939,250.1298,-11.34351,-26.51145,10
0.366699,0.58374,-0.224365,-65.38931,108.9237,-26.48092,0
-0.178711,-0.356934,1.32373,-250.1374,-90.13741,-19.00763,1
