ax,ay,az,gx,gy,gz,label
0.937988,0.115479,0.402832,-2.839695,0.06870199,0.847328,0
0.638428,-0.148926,-0.265137,-5.534352,-128.5038,34.61832,0
1.293701,0.563721,0.240723,-210.9771,-78.9771,70.76336,10
1.054932,0.774414,1.685303,143.5878,146.3817,-163.0153,10
1.05957,-0.013916,0.456055,19.9313,45.86259,59.26717,1
0.500244,0.321777,-0.659912,250.1298,60.48092,-142.9008,0
0.668457,-0.224609,-0.468262,43.05344,-9.946565,-18.18321,0
1.0979,0.156738,0.230713,40.8855,40.65649,21.22901,1
0.861084,0.290527,-0.531006,-211.1145,-87.0229,127.3435,1
0.820068,-0.065918,-0.211182,-87.38168,-40.72519,22.66412,0
0.92041,0.078857,0.446045,-2.671756,1.129771,0.099237,0
